Ciudad,Comentario,Categoría del problema,Categoria_Numerica,Nuevo Nivel de Urgencia,Fecha del reporte
bucaramanga,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 06 25
bucaramanga,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 09 26
manizales,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 03 25
cali,falta agua potable en varias casas,Salud,1,4,2023 02 24
santa marta,queremos mas presencia policial,Seguridad,3,4,2024 08 21
manizales,faltan medicos en el centro de salud,Salud,1,3,2023 03 14
pereira,necesitamos mas acceso a internet en la zona,Educación,2,2,2023 07 17
barranquilla,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 03 29
bogota,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 09 01
pereira,no hay suficientes escuelas publicas,Educación,2,1,2024 08 10
santa marta,faltan medicos en el centro de salud,Salud,1,3,2023 09 17
manizales,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 01 29
cucuta,falta agua potable en varias casas,Salud,1,3,2024 02 21
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 04 16
cucuta,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 08 31
cucuta,falta agua potable en varias casas,Salud,1,3,2023 01 31
pereira,faltan medicos en el centro de salud,Salud,1,2,2024 01 13
cucuta,no tenemos centros culturales ni bibliotecas,Educación,2,2,2024 02 09
bucaramanga,no tenemos centros culturales ni bibliotecas,Educación,2,1,2024 11 20
bucaramanga,queremos mas presencia policial,Seguridad,3,3,2024 11 22
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2023 04 29
bucaramanga,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 05 01
medellin,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 05 13
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 09 19
bucaramanga,falta agua potable en varias casas,Salud,1,4,2023 06 02
barranquilla,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 01 31
santa marta,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 10 13
manizales,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 11 13
cali,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 11 22
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2023 03 03
cucuta,falta agua potable en varias casas,Salud,1,2,2023 09 06
pereira,necesitamos mas acceso a internet en la zona,Educación,2,1,2024 01 27
bogota,falta agua potable en varias casas,Salud,1,4,2023 10 19
santa marta,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2023 07 19
cucuta,faltan medicos en el centro de salud,Salud,1,3,2024 10 16
santa marta,faltan medicos en el centro de salud,Salud,1,4,2023 11 01
cartagena,no hay suficientes escuelas publicas,Educación,2,4,2023 01 12
bucaramanga,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 10 03
bogota,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 04 08
cali,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 08 01
medellin,no hay suficientes escuelas publicas,Educación,2,3,2023 07 19
manizales,faltan medicos en el centro de salud,Salud,1,3,2023 02 12
pereira,no tenemos centros culturales ni bibliotecas,Educación,2,2,2024 11 08
bogota,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 04 16
barranquilla,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 11 25
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 08 04
medellin,no hay suficientes escuelas publicas,Educación,2,2,2024 03 02
cucuta,necesitamos mas acceso a internet en la zona,Educación,2,1,2024 04 12
barranquilla,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 08 15
cali,faltan medicos en el centro de salud,Salud,1,4,2023 10 01
manizales,faltan medicos en el centro de salud,Salud,1,4,2023 02 14
medellin,faltan medicos en el centro de salud,Salud,1,2,2024 02 07
manizales,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 09 17
pereira,no hay suficientes escuelas publicas,Educación,2,3,2023 05 03
santa marta,no hay suficientes escuelas publicas,Educación,2,3,2023 02 18
cartagena,falta agua potable en varias casas,Salud,1,3,2024 10 10
bucaramanga,necesitamos mas acceso a internet en la zona,Educación,2,1,2024 09 18
cali,falta agua potable en varias casas,Salud,1,2,2024 09 13
medellin,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2024 06 23
bogota,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 09 11
barranquilla,falta agua potable en varias casas,Salud,1,3,2023 07 30
barranquilla,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 11 22
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 09 09
pereira,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2023 11 28
medellin,falta agua potable en varias casas,Salud,1,3,2023 08 31
cucuta,falta agua potable en varias casas,Salud,1,2,2024 09 13
barranquilla,no hay suficientes escuelas publicas,Educación,2,1,2024 03 28
pereira,queremos mas presencia policial,Seguridad,3,3,2023 02 10
pereira,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 01 18
cucuta,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 08 26
bucaramanga,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2024 02 02
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 10 20
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 08 28
cucuta,queremos mas presencia policial,Seguridad,3,1,2023 11 14
bucaramanga,falta agua potable en varias casas,Salud,1,3,2024 01 12
barranquilla,queremos mas presencia policial,Seguridad,3,4,2024 11 14
cali,queremos mas presencia policial,Seguridad,3,3,2024 05 17
cucuta,no tenemos centros culturales ni bibliotecas,Educación,2,2,2024 01 26
cartagena,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2024 11 16
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2023 12 30
santa marta,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 09 02
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 01 07
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2024 04 10
barranquilla,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 11 23
cartagena,necesitamos mas acceso a internet en la zona,Educación,2,2,2023 04 05
santa marta,faltan medicos en el centro de salud,Salud,1,4,2023 01 20
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 02 02
cali,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 02 28
manizales,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2023 05 29
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 10 28
medellin,no hay suficientes escuelas publicas,Educación,2,1,2023 11 28
medellin,no hay suficientes escuelas publicas,Educación,2,2,2023 02 01
bucaramanga,necesitamos mas acceso a internet en la zona,Educación,2,1,2024 07 20
bucaramanga,no tenemos centros culturales ni bibliotecas,Educación,2,2,2024 06 03
pereira,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2023 01 30
cartagena,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 04 08
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 02 09
cartagena,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 02 11
cucuta,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 04 21
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 09 20
barranquilla,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 07 31
medellin,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 12 28
cartagena,no hay suficientes escuelas publicas,Educación,2,4,2024 08 16
medellin,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 03 26
bucaramanga,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 02 21
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 11 11
manizales,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 09 29
cucuta,no hay suficientes escuelas publicas,Educación,2,4,2023 05 26
bucaramanga,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 06 11
medellin,faltan medicos en el centro de salud,Salud,1,3,2024 03 12
santa marta,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 10 20
cartagena,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 10 01
manizales,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 12 01
manizales,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2024 06 11
bucaramanga,falta agua potable en varias casas,Salud,1,2,2023 06 21
bucaramanga,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 11 20
cartagena,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 04 02
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 04 10
medellin,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 01 23
medellin,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 07 11
medellin,faltan medicos en el centro de salud,Salud,1,1,2024 06 29
barranquilla,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 04 23
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 06 13
pereira,falta agua potable en varias casas,Salud,1,1,2024 09 23
bogota,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 11 01
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 02 11
medellin,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 06 28
pereira,falta agua potable en varias casas,Salud,1,2,2024 06 30
cucuta,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 04 21
medellin,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2024 04 04
barranquilla,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 06 10
barranquilla,faltan medicos en el centro de salud,Salud,1,4,2024 07 21
bucaramanga,queremos mas presencia policial,Seguridad,3,3,2023 04 17
,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 03 23
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2023 11 28
cartagena,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2024 01 12
medellin,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 11 29
medellin,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2024 01 04
cucuta,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2023 12 06
cucuta,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 08 14
manizales,no hay suficientes escuelas publicas,Educación,2,3,2023 04 30
cucuta,no tenemos centros culturales ni bibliotecas,Educación,2,3,2023 07 10
manizales,faltan medicos en el centro de salud,Salud,1,4,2024 10 16
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 10 20
cucuta,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 01 29
bucaramanga,necesitamos mas acceso a internet en la zona,Educación,2,2,2024 12 01
bucaramanga,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 09 04
santa marta,no tenemos centros culturales ni bibliotecas,Educación,2,1,2024 04 28
bogota,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 10 06
barranquilla,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 04 13
bucaramanga,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 03 15
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,3,2024 06 15
bucaramanga,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 10 24
cartagena,queremos mas presencia policial,Seguridad,3,3,2024 04 11
cartagena,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2024 07 30
cali,faltan medicos en el centro de salud,Salud,1,1,2024 06 08
cartagena,no hay suficientes escuelas publicas,Educación,2,2,2023 01 01
pereira,queremos mas presencia policial,Seguridad,3,1,2024 08 20
manizales,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2023 02 08
santa marta,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 09 23
cucuta,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 03 22
bucaramanga,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 05 03
cartagena,faltan medicos en el centro de salud,Salud,1,3,2023 12 22
manizales,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 10 27
pereira,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 01 19
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 11 19
cucuta,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 07 22
cartagena,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 07 15
medellin,queremos mas presencia policial,Seguridad,3,2,2024 07 27
pereira,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 11 16
barranquilla,queremos mas presencia policial,Seguridad,3,3,2024 07 18
manizales,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 01 30
,faltan medicos en el centro de salud,Salud,1,4,2023 05 04
cucuta,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2024 01 18
santa marta,no tenemos centros culturales ni bibliotecas,Educación,2,2,2024 03 12
bogota,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 03 21
pereira,no tenemos centros culturales ni bibliotecas,Educación,2,1,2024 04 27
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 12 20
pereira,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2023 08 26
cucuta,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2023 01 22
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 09 23
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2023 09 19
manizales,no hay suficientes escuelas publicas,Educación,2,2,2024 03 02
cucuta,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 12 12
cali,queremos mas presencia policial,Seguridad,3,1,2023 06 16
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 10 05
pereira,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 06 08
pereira,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 06 20
cali,falta agua potable en varias casas,Salud,1,2,2024 11 11
cucuta,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 04 14
cali,no tenemos centros culturales ni bibliotecas,Educación,2,1,2024 10 04
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 07 22
medellin,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2024 11 24
cali,no tenemos centros culturales ni bibliotecas,Educación,2,3,2024 03 17
pereira,necesitamos mas acceso a internet en la zona,Educación,2,2,2024 09 29
pereira,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 04 29
,queremos mas presencia policial,Seguridad,3,1,2023 08 28
bucaramanga,faltan medicos en el centro de salud,Salud,1,2,2023 06 21
manizales,no hay suficientes escuelas publicas,Educación,2,2,2023 01 19
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 10 04
cali,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 09 18
pereira,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 04 19
cali,faltan medicos en el centro de salud,Salud,1,3,2023 08 05
bucaramanga,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 12 29
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2024 06 23
cucuta,queremos mas presencia policial,Seguridad,3,2,2023 01 17
bucaramanga,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 10 30
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2024 08 24
santa marta,falta agua potable en varias casas,Salud,1,3,2023 02 09
cartagena,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 10 23
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 11 18
cucuta,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 05 14
bogota,falta agua potable en varias casas,Salud,1,1,2023 09 18
pereira,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 04 22
cartagena,no hay suficientes escuelas publicas,Educación,2,1,2024 02 25
cartagena,no hay suficientes escuelas publicas,Educación,2,2,2023 03 28
cali,no hay suficientes escuelas publicas,Educación,2,4,2023 11 01
cartagena,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 08 29
bucaramanga,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 08 26
barranquilla,queremos mas presencia policial,Seguridad,3,1,2023 07 04
cali,queremos mas presencia policial,Seguridad,3,2,2023 06 18
pereira,no tenemos centros culturales ni bibliotecas,Educación,2,4,2024 04 21
manizales,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 07 18
bogota,falta agua potable en varias casas,Salud,1,4,2023 04 10
medellin,queremos mas presencia policial,Seguridad,3,4,2024 04 03
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 12 23
barranquilla,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 09 25
